plate_00
[ 2] u: [-0.790, 1.505] v: [-0.739, 0.734]
[ 3] u: [-0.691, 1.433] v: [-0.634, 0.691]
[ 4] u: [-0.676, 1.418] v: [-0.623, 0.684]
[ 5] u: [-0.670, 1.416] v: [-0.624, 0.680]
[ 6] u: [-0.665, 1.412] v: [-0.623, 0.678]
[ 7] u: [-0.666, 1.411] v: [-0.623, 0.677]
[ 8] u: [-0.665, 1.411] v: [-0.623, 0.676]
[ 9] u: [-0.665, 1.410] v: [-0.623, 0.676]
[10] u: [-0.664, 1.410] v: [-0.623, 0.675]
[11] u: [-0.664, 1.410] v: [-0.624, 0.675]
[12] u: [-0.664, 1.410] v: [-0.624, 0.675]
[13] u: [-0.666, 1.410] v: [-0.635, 0.688]
[14] u: [-0.781, 1.463] v: [-0.717, 0.720]
[15] u: [-0.691, 1.441] v: [-0.661, 0.685]
[16] u: [-0.666, 1.422] v: [-0.631, 0.674]
[17] u: [-0.664, 1.417] v: [-0.630, 0.671]
[18] u: [-0.660, 1.414] v: [-0.627, 0.672]
[19] u: [-0.661, 1.412] v: [-0.626, 0.672]
wing_10
[ 0] u: [-1.218, 1.662] v: [-1.122, 0.858]
[ 1] u: [-1.069, 1.728] v: [-1.192, 1.080]
[ 2] u: [-0.973, 1.702] v: [-1.004, 0.935]
[ 3] u: [-0.960, 1.709] v: [-1.001, 0.940]
[ 4] u: [-0.961, 1.708] v: [-1.002, 0.944]
[ 5] u: [-0.961, 1.709] v: [-1.002, 0.943]
[ 6] u: [-0.961, 1.709] v: [-1.002, 0.942]
[ 7] u: [-0.961, 1.709] v: [-1.002, 0.943]
[ 8] u: [-0.961, 1.709] v: [-1.002, 0.942]
[ 9] u: [-0.960, 1.748] v: [-1.002, 0.953]
[10] u: [-0.970, 1.710] v: [-1.001, 0.942]
[11] u: [-0.961, 1.709] v: [-1.001, 0.943]
[12] u: [-0.961, 1.709] v: [-1.002, 0.943]
[13] u: [-0.961, 1.709] v: [-1.002, 0.943]
[14] u: [-0.961, 1.709] v: [-1.002, 0.943]
[15] u: [-0.961, 1.709] v: [-1.002, 0.943]
[16] u: [-0.961, 1.709] v: [-1.002, 0.943]
[17] u: [-0.961, 1.709] v: [-1.002, 0.943]
[18] u: [-0.960, 1.709] v: [-1.002, 0.943]
[19] u: [-0.961, 1.709] v: [-1.002, 0.943]
wing_15
[ 0] u: [-1.617, 1.910] v: [-1.595, 1.104]
[ 1] u: [-1.447, 2.016] v: [-1.276, 1.109]
[ 2] u: [-1.175, 2.181] v: [-1.431, 1.118]
[ 3] u: [-1.045, 1.831] v: [-1.280, 1.168]
[ 4] u: [-0.993, 1.823] v: [-1.282, 1.112]
[ 5] u: [-0.991, 1.828] v: [-1.285, 1.100]
[ 6] u: [-0.989, 1.824] v: [-1.281, 1.099]
[ 7] u: [-0.988, 1.824] v: [-1.281, 1.099]
[ 8] u: [-0.988, 1.824] v: [-1.281, 1.098]
[ 9] u: [-0.986, 1.824] v: [-1.280, 1.098]
[10] u: [-0.987, 1.824] v: [-1.280, 1.098]
[11] u: [-0.987, 1.823] v: [-1.280, 1.098]
[12] u: [-0.987, 1.823] v: [-1.280, 1.098]
[13] u: [-0.986, 1.824] v: [-1.280, 1.098]
[14] u: [-0.987, 1.824] v: [-1.280, 1.098]
[15] u: [-0.987, 1.823] v: [-1.280, 1.098]
